1024 64
2048 70
4096 97
8192 144
16384 251
32768 426
65536 996
131072 2558
262144 5695
524288 9486
1048576 15873
2097152 33334
4194304 74483
8388608 159729
16777216 382501
33554432 852607
67108864 1774640
134217728 3766510
268435456 7783855
